,弹幕
0,买了之后发现一天一充真的不麻烦
1,天天带着睡，并没有不舒服
2,这玩意要是系统崩溃，整辆车会不会也崩溃了
3,感觉最强的是整个苹果生态同步联动
4,后期配音或者降噪处理
5,iOS10:老子又回来了
6,空白通行证
7,说ECG不能用的估计连表都没有，换个话术再来黑吧
8,sleepcycle、autosleep 痛失市场
9,弹幕好酸
10,总有人会动歪心思
11,我早就受不了放歌时网易云挡着我的息屏壁纸
12,到动画里的猫也是猫
13,好像三星
14,左边真能云，我国行用了都两年了
15,没yeelight不科学
16,小额贷哈哈哈
17,感觉桌面也要重铸啊，想看壁纸+1
18,锁定屏幕都可以好几页了
19,..0.0
20,好家伙，光遇
21,应该是衣领内测贴了麦克风
22,苹果：胶水大师
23,胶水的正确用法
24,高通：你直接报我名字得了
25,传奇（bushi）
26,我买了表啊，我睡觉不充电我啥时候充电啊
27,just like harmonyos
28,这个确实好
29,我要这Watch有何用
30,接管仪表屏幕了
31,安卓粉怎么不出来狗叫了，继续说抄袭啊
32,AR
33,好家伙，飘了，我飘了
34,air用的话还叫air嘛（doge）
35,hhh终于有天气了
36,确实适合小组作业
37,汤姆不就是猫
38,《re-designed》
39,这是用一个摄像头拍出垂直和平行的效果，你确定安卓能做到？？？
40,CarPlay真的方便
41,侦探最爱啊
42,优雅全无
43,他的声音太像听力录音里的了
44,注意此处只用了一个摄像头
45,太人性了，特别适合老人
46,只有这两台电脑便宜（bush）
47,风扇把电脑吹起来了（bush）
48,《专为mac制造（指未来iPad也会用）》
49,北京时间——纽约时间（bushi
50,刚刚两首歌都很好听啊啊啊
51,他手表戴反了欸
52,佳明哭了
53,我一直猜测，到底什么样的人才会买刘海屏笔记本
54,[ohhhhhhhhhhhh！]
55,原生支持metal3的re引擎不会只做一个游戏
56,《早就有》
57,一个摄像头实现的
58,刘海屏的用户空间变大了，全屏的时候也能一直显示状态栏
59,底部进度条可以设置字幕～
60,正在加载线上模式
61,素晴らしい
62,说快充的放屁，少则一个多小时
63,铝的可以
64,开始熬夜
65,安卓早就有了
66,真的在掉帧吗
67,左上角小爱同学
68,卡，只有一帧，卡的飞起来
69,eve排面了
70,孩子：求你做个人吧
71,前面的，洗澡洗脸时充电
72,VP，升职了
73,英特尔:得了得了别骂了，别点我名字了
74,我也觉得
75,许嵩：？
76,船长：啊对对对
77,我有救了（
78,然后孩子把ipad砸了，哈哈哈哈
79,前面的都猜对乐
80,未来的感觉~
81,这个特效后的运镜帅爆了
82,有的用药要间隔半小时，如果能自动提示并修改就更好了。
83,这个可以的
84,那如果我要再windows登录怎么办
85,《情 景 模 式》
86,价格也提高了30%
87,这个好
88,MIUI12超级壁纸
89,大陆太多功能不能用了
90,很有用
91,和老罗的TNT很像，但是老罗只是一个原型，这个体验感觉要好太多了
92,智能穿戴的老大哥就是老大哥，没得比
93,s7你洗个澡刷个牙就充差不多了
94,依然可以用type-c充电啊
95,室外收音效果这么好，一点环境音都没有
96,可调节窗口！
97,背刺！
98,可惜MIUI12太卡了
99,ECG到现在大陆还不能用，垃圾
100,甲硝唑和酒精
101,这个功能可能要和国产药打通才行
102,海底小纵队
103,A12Z表示很淦
104,怎么听到一股咖喱味
105,唯一有用的更新
